"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 27 07:51:30 GMT 2022","Tue Sep 27 07:51:40 GMT 2022","9413","","Test01LastName","","Test01LastName","testFirstNameFieldMaxChar1","testFirstNameFieldMaxChar1()","""Keresztnév mező maximális karakter hossz ellenőrzése. 
Maximálisan megengedett 32 karakter.
Tesztelés 33 karakterrel."""
"failed","Tue Sep 27 07:51:50 GMT 2022","Tue Sep 27 07:52:00 GMT 2022","10357","","Test01LastName","","Test01LastName","testLastNameFieldNumber","testLastNameFieldNumber()","Vezetéknév mező szám típusú karakter elfogadásának ellenőrzése"
"failed","Tue Sep 27 07:51:40 GMT 2022","Tue Sep 27 07:51:50 GMT 2022","9775","","Test01LastName","","Test01LastName","testEmailFieldMissingAt","testEmailFieldMissingAt()","Az email címben @ szimbólum validációja"
"passed","Tue Sep 27 07:51:27 GMT 2022","Tue Sep 27 07:51:30 GMT 2022","3257","","Test01LastName","","Test01LastName","testLastNameFieldEmpty","testLastNameFieldEmpty()","Üres Vezetéknév mező validálása"
